City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
362,bokoro,12.3807,17.0568,94.84,7,100,10.4,TD
363,seoul,37.5683,126.9778,4.44,38,4,14.29,KR
364,raga,8.4596,25.678,95.43,10,71,6.67,SS
365,takoradi,4.8845,-1.7554,85.89,64,8,8.21,GH
366,the valley,18.217,-63.0578,78.1,65,15,16.6,AI
367,mancio lima,-7.6142,-72.8958,71.69,95,99,3.47,BR
368,lyuban,52.7985,28.0048,37.56,75,15,3.31,BY
369,whitehorse,60.7161,-135.0538,17.73,94,82,8.14,CA
370,tyup,42.7276,78.3648,14.74,83,38,6.58,KG
371,yambio,4.5721,28.3955,99.1,12,36,3.53,SS
372,safaga,26.7292,33.9365,74.17,45,0,14.74,EG
373,cherskiy,68.75,161.3,-22.9,98,100,1.86,RU
374,boddam,57.4667,-1.7833,55.78,86,100,5.97,GB
375,upernavik,72.7868,-56.1549,-5.26,84,100,9.95,GL
376,ketchikan,55.3422,-131.6461,43.27,93,100,8.05,US
377,boguchany,58.3814,97.4531,-9.53,100,98,2.62,RU
378,saint-joseph,-21.3667,55.6167,77.38,89,100,4.43,RE
379,coxim,-18.5067,-54.76,75.83,90,100,3.96,BR
380,port hedland,-20.3167,118.5667,84.25,79,72,8.05,AU
381,blytheville,35.9273,-89.919,33.78,86,0,4.61,US
382,naro,37.2935,13.7936,49.84,59,22,9.37,IT
383,lasa,46.6166,10.7002,42.03,65,97,1.92,IT
384,presque isle,46.6811,-68.0159,25.23,80,100,8.05,US
385,karratha,-20.7377,116.8463,84.07,71,64,8.03,AU
386,mayo,38.8876,-76.5119,37.98,78,0,4.61,US
387,san ramon de la nueva oran,-23.1322,-64.326,75.42,62,60,0.36,AR
388,qaqortoq,60.7167,-46.0333,29.68,89,100,4.79,GL
389,inverell,-29.7833,151.1167,70.11,79,16,1.99,AU
390,shitanjing,39.2342,106.3439,8.26,20,23,5.23,CN
391,kabinda,-6.1333,24.4833,78.49,71,93,2.68,CD
392,baykit,61.67,96.37,-33.41,98,44,3.38,RU
393,mokolo,10.7398,13.8019,88.59,10,88,10.56,CM
394,bundaberg,-24.85,152.35,76.21,87,0,1.01,AU
395,isoka,-10.1606,32.6335,74.55,67,99,5.17,ZM
396,boundiali,9.5217,-6.4869,92.82,34,64,5.12,CI
397,clyde river,70.4692,-68.5914,-25.1,89,100,6.13,CA
398,yuxia,34.0615,108.6291,25.56,41,0,2.98,CN
399,dabola,10.75,-11.1167,92.44,15,100,5.14,GN
400,canutama,-6.5339,-64.3831,74.37,96,100,1.79,BR
401,saskatoon,52.1168,-106.6345,10.69,96,98,7.09,CA
402,tarata,-17.6167,-66.0167,58.68,71,99,1.61,BO
403,taltal,-25.4,-70.4833,69.75,75,20,3.13,CL
404,mujiayingzi,42.1167,118.7833,-4.92,66,2,7.34,CN
405,fort nelson,58.8053,-122.7002,3.36,99,91,0.87,CA
406,mogadishu,2.0371,45.3438,82.98,65,47,24.32,SO
407,bayan,46.0833,127.4,-21.03,94,43,5.95,CN
408,riohacha,11.5444,-72.9072,77.34,80,87,18.1,CO
409,tiznit,29.5833,-9.5,60.24,36,0,5.46,MA
410,valle nacional,17.7833,-96.3167,66.74,97,61,3.8,MX
411,raudeberg,61.9875,5.1352,48.96,18,100,24.74,NO
412,zvishavane,-20.3267,30.0665,70.52,81,100,3.11,ZW
413,mackay,-21.15,149.2,74.68,77,5,5.68,AU
414,almeirim,-1.5233,-52.5817,75.16,90,98,3.89,BR
415,lodja,-3.4833,23.4333,84.81,56,99,1.14,CD
416,nizwa,22.9333,57.5333,63.5,57,84,3.53,OM
417,ulaanbaatar,47.9077,106.8832,-9.89,86,96,3.18,MN
418,simao,22.7886,100.9748,52.48,88,44,4.27,CN
419,nantucket,41.2835,-70.0995,33.15,76,0,10.36,US
420,dingle,10.9995,122.6711,74.59,84,55,12.26,PH
421,waupun,43.6333,-88.7296,28.56,96,85,7.18,US
422,gladstone,-23.85,151.25,78.73,73,0,3.44,AU
